Step,Type,V_initial_RHE,V_final_RHE,dV,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),B_2exp (mA·s^0.5),B_2exp_err,C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,|B|_2exp,|B|/dV_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3805274727258192,1.310566450442022,0.06996102228379719,6.417070866678703,0.0025696689807538937,18.497753591722503,0.008173618604494587,0.010564469843865377,0.00011176149888733664,-0.028149585904684006,0.00011402328122197396,0.9991944846146475,-192835.27580392087,6.417070866678703,0.010564469843865377,0.15100508110088157,118.70139567244381,6.485215069418055,0.0049329821423862675,17.85046448675569,0.016131466208266037,0.1340762256236458,0.003671255148315127,84.75787939131398,1.8513260868640897,0.0017967037656348164,0.00020557357592708612,-0.02158894629716739,0.0001654899371860392,0.9993231497394397,-196294.02634671636,-3458.7505427954893,2exp,6.485215069418055,0.1340762256236458,0.0017967037656348164,0.02568149673894815,4.748217025624226,48.369612429441155,115.76410128561983,11.36401656065157,127.12811784627141,0.9106097317165238
4,FALLING,1.4006077621520001,1.3105662661763087,0.09004149597569144,8.060351344580383,0.0027538168605420487,19.288270210867257,0.00721098501786747,0.014546357169632691,0.0001231435720587548,-0.031110259710483472,0.00012515256539092558,0.9994237767901067,-189317.57141134396,8.060351344580383,0.014546357169632691,0.1615517047113453,155.47023472879366,8.19862424787568,0.0044943742647470765,18.650255293271428,0.011618037758032536,0.15399018164396172,0.0026459757435375706,105.9262581216682,1.6152698453464283,0.0008914355861678233,0.00023236681199465518,-0.021058283041055538,0.00018159245364483438,0.9995694299821134,-195121.97199458964,-5804.400583245675,2exp,8.19862424787568,0.15399018164396172,0.0008914355861678233,0.009900275162115084,5.6796143782484245,53.241214214758116,152.9064352764869,16.311603729020863,169.21803900550776,0.9036059995442333
6,FALLING,1.42061166314,1.310573435557278,0.11003822758272208,9.2956905562436,0.003191396277846834,20.348161790192975,0.007558703802521692,0.019427265836750116,0.00014774494471060206,-0.03494601302321727,0.00014941747301108147,0.9994331388916422,-182493.8827243973,9.2956905562436,0.019427265836750116,0.17655015228362816,189.15021539001367,9.472422519800425,0.004889741203313408,19.418377195129374,0.011547406588402595,0.2517610616004428,0.003231016605794435,100.22119714628795,1.08083574835,-0.00056810108023979,0.00023806395172557018,-0.020198391963382398,0.00018735440972263286,0.9996674889539887,-193136.50034054604,-10642.617616148753,2exp,9.472422519800425,0.2517610616004428,0.00056810108023979,0.005162761094208971,5.161152043715887,37.62465275441849,183.9390734411225,25.231794988416727,209.17086842953924,0.8793723276197218
8,FALLING,1.440674986528,1.3105710369313468,0.13010394959665317,10.06355183668839,0.003914160894671142,21.570748010921648,0.008960646922484267,0.02789453407086274,0.00018799679919013723,-0.0409630447471556,0.0001891066414033547,0.9993022344510731,-173357.83990336765,10.06355183668839,0.02789453407086274,0.21440190061363293,217.07834076405297,10.274495596971214,0.005598737222051547,20.177799229645085,0.012633947698400788,0.39853552415412147,0.00406460727663368,95.6869988983883,0.7757740017245137,-0.0005262129071098206,0.0002538378763180598,-0.019979755172253,0.0002009065149881057,0.9996928486753444,-189739.0399415591,-16381.200038191455,2exp,10.274495596971214,0.39853552415412147,0.0005262129071098206,0.004044557515288199,4.742192040339345,25.78062675536514,207.31670934155758,38.13466826070402,245.4513776022616,0.8446345315588376
10,FALLING,1.4606853548120002,1.3105764356002798,0.15010891921172043,10.53847657546372,0.004434999782610061,22.805470408917994,0.010118272381353828,0.03586781704011882,0.00022041649372358607,-0.047152550753682944,0.0002205858763563973,0.9992142933569904,-167466.73367189892,10.53847657546372,0.03586781704011882,0.23894527539385735,240.3349156968133,10.696570865123624,0.006366149696177472,20.845685184568417,0.01381338250737445,0.5904022623554719,0.005257061697109346,86.63761705882737,0.5561693648340307,0.0015967478575719526,0.00024181635194060345,-0.021738463185804663,0.0001937556781590624,0.999746259059311,-190038.75800192822,-22572.024330029293,2exp,10.696570865123624,0.5904022623554719,0.0015967478575719526,0.010637261702749501,4.156141488837375,18.117428653556527,222.9773488087937,51.151045116618704,274.1283939254124,0.8134047904189874
12,FALLING,1.480425008756,1.3105672424996249,0.16985776625637516,10.78124102463154,0.00533037934629968,24.233698564391982,0.012446773710571051,0.044912051043708504,0.0002747110540025993,-0.0531149254060268,0.00027339372978540374,0.9989628629417047,-159170.0300477977,10.78124102463154,0.044912051043708504,0.2644097590210883,261.26934514097735,10.849635518942259,0.007282786782114665,21.32560564871125,0.015118879038972468,0.9034663128943152,0.006456533617747926,80.5506634563102,0.383405385595564,0.0011064587674652498,0.00023332814664121253,-0.0205444052132733,0.00018858322536376954,0.9997819708812914,-190323.32401706444,-31153.293969266728,2exp,10.849635518942259,0.9034663128943152,0.0011064587674652498,0.006514031073475993,3.777180577339338,12.008898797991394,231.37504850921326,72.77481091406345,304.1498594232767,0.7607271262526384
14,FALLING,1.5004114487320002,1.310569145142757,0.18984230358924314,10.941521649602544,0.0058963887041356645,25.614553743316858,0.014141647817796756,0.05229261599636832,0.0003138511635122103,-0.05818071546189475,0.00031076565048065454,0.9988133214256657,-154300.8037262672,10.941521649602544,0.05229261599636832,0.27545291543402517,280.2621943274093,10.838297341192897,0.008320738266728982,21.811368682115102,0.016511627031322536,1.2170993186217933,0.007729989073188176,75.64572783770765,0.29652165908655415,0.002767360799220975,0.0002224824983568025,-0.021281262334153846,0.0001811142861493194,0.9998136062411873,-191279.8283407693,-36979.02461450212,2exp,10.838297341192897,1.2170993186217933,0.002767360799220975,0.014577155601781158,3.4681788630594133,8.905022930639596,236.39809919514613,92.0683638079236,328.46646300306975,0.7197023922437306
16,FALLING,1.5204506781799998,1.3105730661603079,0.2098776120196919,11.020228419478173,0.0064328799357007485,26.964062190325286,0.015913339532801652,0.060498531577232006,0.0003525652210035332,-0.06391630646697932,0.0003474671985393882,0.9986605567905087,-150066.85273222203,11.020228419478173,0.060498531577232006,0.28825624131627575,297.1501244543996,10.728731921343828,0.009113228507853684,22.208521032173177,0.017628614858926177,1.5427128881410659,0.008656002487145067,72.95243006232586,0.2400623610226175,0.005261065948498241,0.0002146630033625476,-0.022731087768121497,0.0001754391348263609,0.9998372928324483,-192182.8947556776,-42116.04202345558,2exp,10.728731921343828,1.5427128881410659,0.005261065948498241,0.025067304215394916,3.2848846601104458,6.95445795767721,238.26926852371213,112.54465407835986,350.813922602072,0.6791898872097525
18,FALLING,1.540454321128,1.3105679204860243,0.22988640064197563,11.080157494895179,0.006726759293302011,28.233594975852576,0.017121507413576355,0.06650621884557195,0.0003782596402535867,-0.06776615523241758,0.0003712335742943891,0.9985947796455674,-147621.69967211812,11.080157494895179,0.06650621884557195,0.28930036165622747,312.83267897952777,10.42659057715255,0.010770796380940499,22.39030209696575,0.019768018512542077,1.982319548543615,0.010488118666654786,67.92928525356649,0.19485055907452767,0.009114754591820306,0.00020325035050468317,-0.02484214441467293,0.00016744850993304967,0.9998576349539254,-193365.51722814408,-45743.817556025955,2exp,10.42659057715255,1.982319548543615,0.009114754591820306,0.03964895081382216,3.033870867815223,5.25979304638994,233.4545128638221,134.6575500767404,368.1120629405625,0.6341941391404959
20,FALLING,1.560484258988,1.3105804200440023,0.2499038389439976,11.101746424276353,0.007017793103557057,29.612375106109024,0.018462186154032265,0.07223430446814874,0.0004050657684329683,-0.07195183174562333,0.0003958285078180599,0.9985223643709212,-145258.4809437457,11.101746424276353,0.07223430446814874,0.28904839866960247,328.74907944857597,10.060470191082858,0.011886629800500564,22.54832805473971,0.021348107765627566,2.4571997752553583,0.011703602415085525,65.00723164695093,0.1592204799509387,0.011926621975574541,0.0001923905244740997,-0.026773463305612814,0.00015925873048313355,0.9998772196699243,-194964.85588942145,-49706.37494567575,2exp,10.060470191082858,2.4571997752553583,0.011926621975574541,0.04772484498826466,2.8830178223917695,4.094282561961145,226.84678225346616,159.73575499286082,386.582537246327,0.5868003864564668
