Step,Type,V_initial,V_initial_RHE,V_final,V_final_RHE,dV,dV_RHE,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3205185774250299,1.32087295,1.3105807558695,1.3105807558695,0.009937821555529913,0.010292194130500087,-0.14287939590657014,0.0008118699790506237,522.3750779574748,3.310085130308939,0.05781919898415898,0.0001501397461222886,-0.054734108532260566,0.00016379000847495894,0.9099486955172162,-176266.5000207166,0.14287939590657014,0.05781919898415898,5.818095913785593,74.63663557521147,0.7917371844793333,0.05094720591711632,15.031757324225786,0.44993112818042563,0.16183332819549476,0.05242234554614677,29.928311680332193,2.9667686575843666,-0.02046299881864527,5.2020157361241144e-05,0.9685540507962518,-197280.46465118165,-21013.964630465052,2exp,0.7917371844793333,0.16183332819549476,1.9910055115178396,4.892299956427482,11.90120122165912,4.843398286500259,16.74459950815938,0.7107486336630418
4,FALLING,1.3405106318432627,1.34081205,1.310569998016,1.310569998016,0.029940633827262753,0.030242051984000096,-0.4239684462126229,0.0020845410139010943,526.9907665026006,2.9014265820436265,0.17602674766656112,0.0003868770967312273,-0.12479051586366005,0.0004237182390004326,0.9345952773652307,-138356.41840507716,0.4239684462126229,0.17602674766656112,5.879192427325241,223.42745644250678,2.7903554658320844,0.004396683285301165,16.742851227336008,0.03973466794422528,0.08715421508101537,0.0049403454070867875,69.56339797389772,2.4569284943103216,-0.01996531687148118,5.4031216697211754e-05,0.9964611306808089,-196649.02178517266,-58292.603380095505,2exp,2.7903554658320844,0.08715421508101537,4.154811927153826,32.01629965043311,46.71850643581045,6.062743348783351,52.7812497845938,0.8851345245986769
6,FALLING,1.3605507210995602,1.36058,1.3105690237120002,1.3105690237120002,0.049981697387559976,0.050010976287999664,4.6325268071496755,0.00245250698927487,17.980138269726023,0.010178066977050688,0.007557996619174084,0.00010349083860216644,-0.025940176186880954,0.00010664189571764454,0.9986394442468247,-194744.3371292062,4.6325268071496755,0.007557996619174084,0.15121528507863774,83.29347253076358,4.701263656608595,0.003209426026327575,17.278740291247832,0.020694224872033148,0.10744726678184781,0.0034899817028605533,84.30013411618775,1.9007247429763239,-0.02021358405428269,5.48415670808245e-05,0.9987482542576385,-196390.94587044188,-1646.6087412356865,2exp,4.701263656608595,0.10744726678184781,4.878835649777556,43.754148406154044,81.23191376322204,9.057819000127575,90.28973276334962,0.8996805204433573
8,FALLING,1.3805553241783286,1.379635,1.3105664656689997,1.3105664656689997,0.0699888585093289,0.06906853433100024,6.484088112168999,0.0025518370240753584,18.529814748388922,0.0077476463100948955,0.010224625390282958,0.00010964152992208704,-0.02785754869569009,0.0001126849906836544,0.9992531686535877,-192666.84246264285,6.484088112168999,0.010224625390282958,0.14608932918830367,120.14895153072241,6.589461251935632,0.0027151623839602504,17.891521010458117,0.01382357885032017,0.1269017716814013,0.002817622621447107,96.91949697098826,1.5943241450307997,-0.020257685328811902,5.5479727293170874e-05,0.9993755551018725,-196225.13033742385,-3558.2878747810028,2exp,6.589461251935632,0.1269017716814013,5.417063027471839,51.92568365774347,117.89548443660603,12.299255876088617,130.19474031269465,0.9055318529262477
10,FALLING,1.4006077635785688,1.396611,1.310566286184,1.310566286184,0.0900414773945688,0.0860447138160001,8.136441559504929,0.0027741220092850397,19.34702923493617,0.006942560080543281,0.013796184660067556,0.00012226659616461732,-0.030469394125252187,0.00012519151692295968,0.999449486639583,-188637.51955414272,8.136441559504929,0.013796184660067556,0.15322032755650591,157.4159727200915,8.292212591569523,0.0024154269942706693,18.712623231470808,0.010681359522266018,0.1464831986378611,0.002328249318764803,113.63035091363224,1.4306906622487952,-0.02042917283305767,5.803837583392263e-05,0.999596374319711,-194822.49669165307,-6184.977137510345,2exp,8.292212591569523,0.1464831986378611,6.072390252721447,56.60862589483527,155.16904998129863,16.644937264171453,171.8139872454701,0.9031223386930024
12,FALLING,1.4206116958856458,1.4099749999999998,1.3105734313465,1.3105734313465,0.11003826453914578,0.0994015686534997,9.378986784177359,0.0032343364534616714,20.4151186978315,0.007321234640159224,0.01840997814170645,0.0001470558859361084,-0.03407889773646165,0.00014987627100380022,0.9994519643052512,-181660.43470229808,9.378986784177359,0.01840997814170645,0.1673052389440144,191.47312846437373,9.549995304067693,0.0029969197914686886,19.49769097833788,0.011160988414285434,0.2394214110258728,0.0031695019044927627,101.67186727438937,0.9771390057452094,-0.02064331046386423,6.0974302402510574e-05,0.9996831334410039,-192593.43936018393,-10933.004657885846,2exp,9.549995304067693,0.2394214110258728,5.214559374612501,39.88780812521267,186.20285728328975,24.342421924469562,210.5452792077593,0.884383910121066
14,FALLING,1.4406748665853661,1.4196849999999999,1.3105710337944998,1.3105710337944998,0.13010383279086635,0.10911396620550007,10.149838560463895,0.0039774013650927375,21.64851731613523,0.008704450884628082,0.026552086956783665,0.00018695721272352116,-0.03982088295117195,0.00018958304986760931,0.9993216932074408,-172496.23318555896,10.149838560463895,0.026552086956783665,0.20408381818746615,219.7289558321797,10.357842861572268,0.0036703058991325614,20.26918117117074,0.012263403107748275,0.3823336500205474,0.004003431391682585,97.06133635059598,0.7002484292073825,-0.02039817661057349,6.641481679105775e-05,0.9997045077131373,-189088.9183045709,-16592.685119011934,2exp,10.357842861572268,0.3823336500205474,4.788616547009223,27.091109717953454,209.94499350372584,37.1098150027954,247.05480850652123,0.8497911648547579
16,FALLING,1.4606853246901241,1.4267699999999999,1.3105764341005,1.3105764341005,0.15010889058962418,0.11619356589949992,10.629689508561583,0.0044817843762339875,22.869393210202873,0.009767787317535179,0.03459938417917798,0.00021718470979625553,-0.04607279721986744,0.00021920207839887384,0.9992453505336616,-166903.13108456868,10.629689508561583,0.03459938417917798,0.23049523611341352,243.094549073663,10.825102066061508,0.0043907401126915945,20.90583305309175,0.012974985209042765,0.5751863211508034,0.004886839689153414,89.61482980012684,0.48755574501550497,-0.02055048338658273,6.513104252153776e-05,0.9997591485051515,-189715.6447036666,-22812.51361909791,2exp,10.825102066061508,0.5751863211508034,4.286594539071657,18.820166036638696,226.30777657576047,51.545224273290344,277.85300084905083,0.8144874299871487
18,FALLING,1.4804251003558575,1.4324899999999998,1.3105672595974998,1.3105672595974998,0.16985784075835775,0.12192274040250006,10.874918146028968,0.005363369783155264,24.282602626473224,0.0119604489756806,0.04376577442576753,0.00026853161313312253,-0.05213745065172908,0.0002696443694532773,0.999012791467735,-158844.93539883016,10.874918146028968,0.04376577442576753,0.2576611961530193,264.0713159354444,10.973929931273531,0.005505614008791888,21.36322045471535,0.014345393268713312,0.8920416507188386,0.006143878291008536,81.9003230691874,0.333486758969338,-0.019712465654039852,6.404730692861572e-05,0.999794733682127,-190224.0256076798,-31379.090208849637,2exp,10.973929931273531,0.8920416507188386,3.8337067785634407,12.302037603771474,234.43848437639573,73.05849938504409,307.4969837614398,0.7624090536064451
20,FALLING,1.5004113802079169,1.43674,1.3105691344650001,1.3105691344650001,0.18984224574291675,0.1261708655349998,11.036377983305226,0.0059243578253967335,25.646908034924543,0.013570838627933046,0.051330721618966256,0.00030540777923314475,-0.05735713120530258,0.0003052568215360004,0.9988734693546003,-154080.01446325475,11.036377983305226,0.051330721618966256,0.2703861904819542,283.04897117649506,10.997236844183229,0.006445976545877725,21.812637377507947,0.015435090170379081,1.20663264980256,0.00715352867046626,77.46903856735881,0.25615041257984367,-0.01916899420567529,6.244028115179857e-05,0.9998238046521041,-191151.45890786254,-37071.4444446078,2exp,10.997236844183229,1.20663264980256,3.551566792525549,9.113989121695568,239.87873943673864,93.47667128418887,333.3554107209275,0.7195885584036793
