Step,Type,V_initial_RHE,V_final_RHE,dV,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),B_2exp (mA·s^0.5),B_2exp_err,C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,|B|_2exp,|B|/dV_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3614989583180181,1.3112023222557256,0.05029663606229251,3.7193780997048678,0.0013189365085575309,20.379041773396917,0.007816557496522132,0.010433334457695058,6.111961935256797e-05,0.01621060887723237,6.180407898655737e-05,0.999410418826409,-217781.48564806138,3.7193780997048678,0.010433334457695058,0.20743602901739486,75.79736166494314,3.5514401651249434,0.00224407689312372,20.360683873977003,0.006956772490931796,-0.02904399704104094,0.0003679631345900342,898.654670437729,9.816248192510304,0.022700711337253925,0.0001520749918658721,0.01144378748457657,0.00011149201672177217,0.9996085529327766,-225947.59783214252,-8166.112184081139,2exp,3.5514401651249434,0.02904399704104094,0.022700711337253925,0.4513365726713619,44.1367625959902,122.2779412939115,72.30975049945367,26.100523589111024,98.41027408856469,0.7347784687031584
4,FALLING,1.3814708090811025,1.3112012560076007,0.0702695530735018,5.255059847903757,0.0012988897872510323,21.315081874540695,0.0056421086236859265,0.011615962593335956,6.192393898111145e-05,0.015367555438560035,6.23590857005247e-05,0.9997115962114511,-217640.62820853075,5.255059847903757,0.011615962593335956,0.16530577021296383,112.01203091367996,5.293129256294782,0.0025675995073048733,20.593015691257282,0.011230316628694883,0.11086300383396766,0.0020835436818073916,87.44223444991269,1.2050507835982776,0.004815371681632689,0.00010029696942036355,0.020416330783626247,8.028337080191979e-05,0.9998042636745783,-225367.6451578289,-7727.016949298151,2exp,5.293129256294782,0.11086300383396766,0.004815371681632689,0.06852714256764691,4.246208314551816,47.74477574342076,109.00149383073145,9.694108773071369,118.69560260380281,0.9183279872176092
6,FALLING,1.4015178895,1.3111909597824782,0.09032692971752176,6.85782710160593,0.0017466969444415357,22.17253198822672,0.005993420060563664,0.012713534091374053,8.533289404834742e-05,0.014194719533314873,8.562133460183879e-05,0.9996940705374494,-205156.1093139108,6.85782710160593,0.012713534091374053,0.14075020739809183,152.05539078008562,7.034871427564795,0.002673285689356645,21.632136469875118,0.007361401243400795,0.09648604578349912,0.0009876136162537098,174.00723168263835,1.6333393744535856,-0.002091085572984806,0.0001755938714366631,0.024572556037386884,0.00012799559412300724,0.9998070269003991,-214346.38842942653,-9190.279115515732,2exp,7.034871427564795,0.09648604578349912,0.002091085572984806,0.02315018986612554,8.043922611387025,72.9107651830819,152.17929876910682,16.789269722790984,168.9685684918978,0.9006367286375155
8,FALLING,1.421524859128,1.3112000227702771,0.11032483635772294,8.35779700985289,0.00176758219667948,23.076513537006605,0.005130753806127328,0.015053964424884039,8.847785627471548e-05,0.012899298165875109,8.845149725819614e-05,0.9997915991356934,-204044.7879313338,8.35779700985289,0.015053964424884039,0.1364512735470759,192.86881583742354,8.515582086209605,0.0027383804925997283,22.590288580794798,0.0069039322903102175,0.09992134987900932,0.0011434829144734919,162.31803959335986,1.6973226250733306,0.0011134289373071027,0.000178065286739821,0.02272316766814014,0.000131090709600222,0.9998628349489205,-212385.11471837974,-8340.326787045953,2exp,8.515582086209605,0.09992134987900932,0.0011134289373071027,0.010092278167509473,7.185301728786016,85.22284873573841,192.36945676092157,16.219037625882997,208.58849438680457,0.9222438530295608
10,FALLING,1.4415273728291316,1.3111938242324233,0.13033354859670832,9.656819404356572,0.0029486870524543947,24.397378537626786,0.007726064815544391,0.01351431903299613,0.0001525707812879282,0.01539422953040112,0.00015174841428690494,0.9995688018915039,-182726.67901385116,9.656819404356572,0.01351431903299613,0.10369025610446278,235.60107847758687,10.146786822903922,0.004774303493033221,23.838144930633128,0.007454640870285899,0.1496018034163112,0.001228471936900489,313.0849149645955,1.8352931419529201,-0.025139621120501658,0.0003440785921052021,0.040216460220236235,0.00023135856255500622,0.9997590471992138,-194338.639094423,-11611.960080571851,2exp,10.146786822903922,0.1496018034163112,0.025139621120501658,0.1928867999926197,13.133778483000444,67.82529749770121,241.88057486462213,46.83806790114593,288.7186427657681,0.8377726237126129
12,FALLING,1.461532703696,1.3111999546434645,0.15033274905253546,10.661345491252812,0.002276334522266997,25.114953969640066,0.005521110504679692,0.020778047034839507,0.00011979333163643072,0.009229897556750334,0.00011883177346880257,0.9997950260253987,-192633.49506904313,10.661345491252812,0.020778047034839507,0.13821371035780358,267.759201267244,10.882678101734012,0.003454130718252154,24.53690349019194,0.007339265576481967,0.1383061632470051,0.0014555685300899548,173.89548167155127,1.6347591216363055,0.0006289887582020663,0.0002328357132829337,0.023273734883311702,0.0001697923705368122,0.9998733227393204,-202232.24167719638,-9598.746608153248,2exp,10.882678101734012,0.1383061632470051,0.0006289887582020663,0.004183976958887775,7.087099712523302,78.68541680458819,267.0272222970726,24.050816875982154,291.0780391730548,0.9173733032409113
14,FALLING,1.4815245995119999,1.3111918882958296,0.17033271121617033,11.309442277391538,0.0036305256096701155,26.697471414023752,0.008687161805893085,0.017468506354592784,0.00019786599721089402,0.012486975473862707,0.00019518527995034652,0.9995417576126072,-173070.7614967295,11.309442277391538,0.017468506354592784,0.10255520639499122,301.9335119092123,11.892625597875512,0.0056181444941667,25.951089327212316,0.008706949439652367,0.19588101135192268,0.0015590980697063475,298.76289882223443,1.7872516137760908,-0.030438377728453522,0.000415156965611181,0.043399660488073255,0.00028109325122227047,0.9997540400756125,-185487.46004784075,-12416.698551111243,2exp,11.892625597875512,0.19588101135192268,0.030438377728453522,0.1786995434472007,11.512537876741522,60.713519476929015,308.6265892255592,58.521978775731434,367.14856800129064,0.8406040936117019
16,FALLING,1.5015409365880001,1.3111842274752474,0.1903567091127527,11.915532555900914,0.0028172526057086166,27.15424551117812,0.006479067510163434,0.025943625814503397,0.0001550172824181588,0.005458690913003215,0.00015268091182622667,0.9997577414799742,-182962.9631595943,11.915532555900914,0.025943625814503397,0.1362895268332065,323.55729641936915,12.247329822564593,0.003386492421842455,26.221394690328776,0.007073615776524395,0.23084687012261285,0.0015612345890166214,172.03998281974376,1.0168895142256489,-0.006094769353558487,0.00022974292777332261,0.027730185589069416,0.00016784272066355452,0.999907170647077,-202115.53788623688,-19152.574726642575,2exp,12.247329822564593,0.23084687012261285,0.006094769353558487,0.03201762302976363,6.561053858938982,53.053913254528865,321.14206918010046,39.714891569885935,360.8569607499864,0.8899428419300973
18,FALLING,1.5215126060344137,1.311193410772077,0.21031919526233667,12.127006919231842,0.003585812288513766,28.634402466543676,0.008425812587095289,0.025236267885821406,0.00020321232973305372,0.006524939623263289,0.00019918663082060142,0.9996278731892133,-172563.18029136857,12.127006919231842,0.025236267885821406,0.11999032163632779,347.24959683984446,12.540960308736615,0.005234371242016596,27.66061356373974,0.01047025994312787,0.2311154942291365,0.0020936981966507527,204.96711025819772,1.596526575020455,-0.013146486098212656,0.00037748354689881965,0.03261186232545586,0.0002692426325052959,0.9997933576160045,-184300.6274261592,-11737.447134790622,2exp,12.540960308736615,0.2311154942291365,0.013146486098212656,0.06250730505988622,7.410070994480355,54.2627414512635,346.89065681816174,47.37107498804128,394.26173180620304,0.8798486610125117
20,FALLING,1.5415490029799999,1.3111945887863787,0.23035441419362113,12.422959523914123,0.0031652177220077705,28.913875239157647,0.007312273003769389,0.0384215122664057,0.00018033526234090565,-0.0026736216580582396,0.0001766072423536397,0.9997327889675147,-177413.73148720028,12.422959523914123,0.0384215122664057,0.1667930367251875,359.19590177555824,12.464282354749484,0.007281144549784696,27.494549077713103,0.015967976496796293,0.41840444728641574,0.0065522356873176126,98.24580257701004,0.9703932585063976,0.014846517425913256,0.0002525192163282582,0.014444796689608923,0.00019860193619710128,0.9998555734853285,-189691.28534661097,-12277.553859410691,2exp,12.464282354749484,0.41840444728641574,0.014846517425913256,0.06445076157053464,3.573282918709419,29.790033149951558,342.69982292113315,41.10648072544421,383.80630364657736,0.892897848902199
