Step,Type,V_initial_RHE,V_final_RHE,dV,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),B_2exp (mA·s^0.5),B_2exp_err,C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,|B|_2exp,|B|/dV_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3805202937809753,1.3105800008530426,0.06994029292793269,3.5558519880520776,0.0022537237205758577,32.32072893055243,0.019731936086805547,0.009077052334102052,0.0001363044811507541,-0.042085993398252704,0.00013215159051649812,0.9983949043695715,-189465.4773174788,3.5558519880520776,0.009077052334102052,0.12978287556580803,114.92772822299715,3.535886728879362,0.009350781419787128,30.57267526651124,0.06976273188683445,0.14604607311631854,0.00898244080908599,94.13864327193683,3.171344732902846,0.0025010320565112187,0.00024029803528824217,-0.037326264733065516,0.0001897269160575532,0.9985022047700017,-190828.62442229374,-1363.1471048149397,2exp,3.535886728879362,0.14604607311631854,0.0025010320565112187,0.03575953076273661,3.079175847429178,24.21076207960211,108.10151674119541,13.748579178364313,121.85009591955972,0.8871680889981364
4,FALLING,1.400602806176,1.3105890992484626,0.09001370692753752,4.606084808329165,0.002189095025048111,33.55983435324848,0.015206749446992587,0.012541054674387209,0.00013501916578402535,-0.04513679645416872,0.00013046643329796444,0.9991145557405412,-190122.17006657724,4.606084808329165,0.012541054674387209,0.13932383303004017,154.57944318454105,4.635850726622894,0.005193496826584598,32.784233222347396,0.03945759074012725,0.065775161715853,0.004194891883793425,134.70405274340158,5.938180985104716,0.00703235599552788,0.00026862213919121687,-0.04127041726802162,0.00020295839533913666,0.9991458505763454,-190821.5996817042,-699.4296151269518,2exp,4.635850726622894,0.065775161715853,0.00703235599552788,0.07812539040514174,4.10880595650413,70.48026345643434,151.9828114055936,8.860180852978031,160.84299225857163,0.9449141008348416
6,FALLING,1.42060589754,1.3105820923076155,0.11002380523238453,5.790382214669642,0.0021709884770470898,34.92140918264074,0.012348613896746519,0.010515551897182287,0.0001366704033166554,-0.042190362846635396,0.00013159634144300055,0.9994441118674491,-189923.75255324066,5.790382214669642,0.010515551897182287,0.09557524278470535,202.20830664236405,5.922926071422958,0.004026536148113716,34.30938007576336,0.019516955757692616,0.05377731604845915,0.0013860314434851384,305.49331899318116,6.19009946430854,-0.0018147135599129727,0.0003253599202028568,-0.03440241190582855,0.00022104187181368022,0.99949217998581,-191711.66132932145,-1787.9087760807888,2exp,5.922926071422958,0.05377731604845915,0.0018147135599129727,0.01649382655035483,8.904075746008191,110.13800067831134,203.21192174509815,16.428610766189053,219.6405325112872,0.9252022812986724
8,FALLING,1.4406715815520001,1.3105840660698034,0.13008751548219677,6.942420350849101,0.0024267317874077403,36.69098378890078,0.011934493448975429,0.00659891917011195,0.0001566451412931262,-0.038545653324447995,0.00015017323012747459,0.9995155873641762,-184818.21128800602,6.942420350849101,0.00659891917011195,0.050726767635246674,254.72423254873928,7.1829682925346106,0.004330394506735102,36.088957187965576,0.015409992109186607,0.06476811650133094,0.0011216047630525396,498.6534267927749,6.435797162399227,-0.014822012671784545,0.00035828397015463006,-0.02665126412020997,0.00023425645360876867,0.9996010400973808,-188677.6001931706,-3859.388905164582,2exp,7.1829682925346106,0.06476811650133094,0.014822012671784545,0.11393877895848525,13.81734097207604,110.90284356789974,259.22583519179574,32.29684324030234,291.5226784320981,0.8892132735126987
10,FALLING,1.460674191448,1.3105827564218213,0.1500914350261786,8.064226033418446,0.002596818542939828,37.423370290018056,0.011153907418980034,0.012400559397152771,0.00016929210131974082,-0.04305646783145294,0.00016201657019339542,0.9995985396275175,-181850.1517842778,8.064226033418446,0.012400559397152771,0.08262003354814945,301.790516951022,239.71582123074452,0.0021881156425216704,43.740264465315974,0.10786126941616396,-231.7673561605133,0.002188115635776064,43.96150989018246,0.11160308840752267,0.017875079249113936,0.00024115262423320602,-0.04711474761487072,0.00020405686252212839,0.999621827365983,-183024.78960773975,-1174.6378234619333,2exp,239.71582123074452,231.7673561605133,0.017875079249113936,0.11909459887565339,1.0050581638581981,1.0342950154927186,10485.233417153171,10188.842920071847,20674.07633722502,0.5071681678118711
12,FALLING,1.480417456512,1.3105803186109306,0.16983713790106947,9.113131191438445,0.0030549497796358506,39.42726938306358,0.012062237902552604,0.0007998928745700637,0.0002043703213161813,-0.03336883008954937,0.0001947002661473117,0.9995580665368101,-174671.32769052967,9.113131191438445,0.0007998928745700637,0.004709764215621692,359.30587840804276,9.4704625181707,0.004995973173400558,38.7353613394615,0.01444914953445808,0.09080229508522011,0.0012452128339501829,583.8663901842584,6.290795334812475,-0.03159409870829664,0.0004220274617468018,-0.016604347506750564,0.0002782741686267233,0.9996760034966667,-180856.32902492254,-6185.001334392873,2exp,9.4704625181707,0.09080229508522011,0.03159409870829664,0.1860258545260005,15.073213983147921,104.29761174299004,366.8417876931685,53.016408251853306,419.8581959450218,0.8737278234320915
14,FALLING,1.500419367096,1.310574057776889,0.18984530931911103,10.010306007456101,0.0033183706129387832,40.4324439824122,0.01215003149108158,-0.000600306079183301,0.0002247440227803159,-0.03301516751201446,0.00021364429756364045,0.9995708681759728,-171035.7846381496,10.010306007456101,0.000600306079183301,0.003162080123740357,404.74113689327316,10.36008613857426,0.00550319504099087,39.809503723926255,0.014964699100728607,0.08720019430502318,0.001351428910016086,620.5357398515021,7.7795455241056555,-0.0325250237653475,0.00046850356614561547,-0.017019506507152896,0.0003114102011482042,0.9996677682703659,-176131.53663751725,-5095.75199936764,2exp,10.36008613857426,0.08720019430502318,0.0325250237653475,0.1713238208623642,15.587628124048893,118.80806254095086,412.42988771376884,54.11083708826229,466.54072480203115,0.8840169052525407
16,FALLING,1.5204606591719998,1.3105631039746988,0.20989755519730102,10.65653860756209,0.0042591979971373685,40.73388254897473,0.014729162484914944,0.011229793450638072,0.0002895087047687596,-0.04215100221720767,0.0002750342226373675,0.99939563293133,-160960.45308199132,10.65653860756209,0.011229793450638072,0.05350130657826009,434.0821920190489,656.1068859807152,0.00326635686396163,51.89398417585095,0.0960443466400156,-645.8126725513513,0.0032663568569921506,52.079629547494115,0.0975984573225504,0.030261287638582726,0.00039291328876837835,-0.055992224658658205,0.0003246488934612991,0.9995228717338329,-165665.7382780009,-4705.285196009587,2exp,656.1068859807152,645.8126725513513,0.030261287638582726,0.14417170133371732,1.0035773967752037,1.0159399371782154,34048.00035875008,33633.6847435515,67681.68510230159,0.5030607661036537
18,FALLING,1.54046218014,1.3105647427696385,0.2298974373703615,11.303306943455675,0.004415300411301923,40.755687584336826,0.014400968425914023,0.01709126174308933,0.0003001975027884456,-0.04684329110027027,0.00028517547221411496,0.999429462446469,-159514.52593239798,11.303306943455675,0.01709126174308933,0.07434298502229736,460.67404645734473,333.45914653809336,0.0034522574614620906,51.6928968247205,0.09574930224138302,-322.5332684337443,0.0034522574195435043,52.07869970885784,0.09904188369406848,0.036724335855434984,0.000414869125425233,-0.061142125006640236,0.00034288321377042415,0.9995323529397354,-163469.63629829598,-3955.110365897999,2exp,333.45914653809336,322.5332684337443,0.036724335855434984,0.1597422584414136,1.007463363592207,1.0338751973010607,17237.469257253015,16797.113232877407,34034.58249013042,0.5064692438125736
20,FALLING,1.5605253082919996,1.3105683175353766,0.24995699075662303,11.719077519184717,0.004974301412444297,41.45707747067087,0.015845990780445216,0.01627405558667638,0.0003410146278359248,-0.04575222226204544,0.0003234752907029953,0.9993290132761375,-154526.1440024585,11.719077519184717,0.01627405558667638,0.06510742323075104,485.8387045976382,509.38571385236804,0.003754889262979391,53.87246996279158,0.09640405732995251,-498.13599382917045,0.003754889248763244,54.16652373425427,0.09861525613610533,0.0413184504129588,0.00046037999316551274,-0.06389949437120598,0.0003783632765619004,0.9994841883494359,-159763.33554799418,-5237.191545535694,2exp,509.38571385236804,498.13599382917045,0.0413184504129588,0.16530223974887567,1.005458330974351,1.0225836321056043,27441.866568986843,26982.2951326341,54424.16170162094,0.5042221269192195
