Step,Type,V_initial,V_initial_RHE,V_final,V_final_RHE,dV,dV_RHE,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3205140365093961,1.3206769999999999,1.310584360194,1.310584360194,0.009929676315396208,0.010092639805999948,0.49012906814607216,0.00212383776422972,29.89565697041468,0.12306999684736215,0.001176545412755171,0.00011851784302718321,-0.03761066231683943,0.00011695261205731271,0.9304833855862495,-192938.7264307534,0.49012906814607216,0.001176545412755171,0.11848779108045127,14.652730492523975,0.1640534160059263,0.03833771426457806,16.60319359742151,2.0828993534877154,0.3608696072338671,0.03976530223358756,35.634662466732536,1.3283956631027458,-0.0366771040207045,5.8148971770676026e-05,0.9306960187638669,-192980.16427787128,-41.4378471178934,2exp,0.1640534160059263,0.3608696072338671,2.146253505847612,0.4546057986523896,2.723810626264723,12.859466648281195,15.583277274545917,0.17479061549612915
4,FALLING,1.3405005262095162,1.34066034,1.3105811252905002,1.3105811252905002,0.029919400919016015,0.030079214709499702,1.4887584172649782,0.0021303700269879595,30.409399917425564,0.04117174452273909,0.004500426528026695,0.00011990796155838298,-0.03943916928120404,0.00011815842722873996,0.9921107595714317,-192579.0621157683,1.4887584172649782,0.004500426528026695,0.15041833692486598,45.272250091044235,1.2054703766360602,0.037725537892012204,24.57400875238073,0.37352103917772356,0.38694210338146334,0.03878037747475376,50.482415086587515,1.6275289520753078,-0.035959000487507116,5.880470274126845e-05,0.9922902008756889,-193019.22641420545,-440.1642984371574,2exp,1.2054703766360602,0.38694210338146334,2.054301176306726,3.1153766057028385,29.62323958619024,19.533771877380293,49.157011463570534,0.6026249095338829
6,FALLING,1.3605346079608158,1.3606736,1.310579368278,1.310579368278,0.04995523968281579,0.05009423172199989,2.520417202419697,0.0022026141353608717,30.814255296676244,0.025398341104691604,0.008518937838777172,0.00012480005822791427,-0.041864655579704535,0.00012284561445953418,0.9970865906363237,-191062.03178226756,2.520417202419697,0.008518937838777172,0.17053141758236062,77.66477912949507,1.2792949195146104,0.0416246725202759,19.648899392858926,0.31745598237902894,1.4596279631957798,0.042902645533368325,40.65904692964115,0.38687481907836624,-0.03513613732182344,5.911344629426058e-05,0.9972905821475133,-192493.44890162483,-1431.4171193572693,2exp,1.2792949195146104,1.4596279631957798,2.0692785950351,0.8764527343759984,25.13673716733814,59.34708185539374,84.48381902273188,0.29753315437332034
8,FALLING,1.3805480507756898,1.3806651,1.3105800268555001,1.3105800268555001,0.06996802392018964,0.07008507314449997,3.579906612602275,0.0022537859521878996,32.322667403940535,0.018975902178080113,0.008985429023734526,0.00013077378785161187,-0.04200691228816235,0.00012822436599167184,0.9984730048026628,-189481.82084428787,3.579906612602275,0.008985429023734526,0.12842193505398877,115.71213077631072,3.6091875591347664,0.00534806965037863,30.467851402365593,0.0543610065952927,0.1387240300094328,0.005891978817584174,109.70700514369648,2.64797359387641,-0.03550024337675511,6.462985495756943e-05,0.9985648878973584,-190702.69649005122,-1220.8756457633572,2exp,3.6091875591347664,0.1387240300094328,3.6007463635974863,26.017032224981875,109.96419023498464,15.21899787379915,125.1831881087838,0.8784261840290096
10,FALLING,1.4006025500479808,1.4006455500000001,1.3105891314775,1.3105891314775,0.09001341857048084,0.09005641852250013,4.635165078373712,0.0022207352569749788,33.444748196235615,0.014822594825174737,0.013540263853763296,0.00013103917282712338,-0.04596201909304036,0.0001281299575030031,0.9991355603165226,-189600.77250764094,4.635165078373712,0.013540263853763296,0.15042494851099583,155.0219288941935,4.760489015580289,0.0027125240389583036,32.19952444806324,0.0319108096910609,0.10012920162994257,0.0028881368142762917,163.26652592740638,3.419778648451083,-0.03625128323890352,7.091336726655151e-05,0.9990793870361238,-188322.3063782567,1278.4661293842364,1exp,4.760489015580289,0.10012920162994257,5.07046388808474,47.54346322638325,153.285482441914,16.347746894005518,169.63322933591954,0.9036288647100352
12,FALLING,1.4206055891203517,1.4205818,1.3105821124805,1.3105821124805,0.11002347663985179,0.10999968751949996,5.825995263001457,0.0021767579467964677,34.960427919602324,0.011959188564106642,0.009976653104227863,0.00013124849022507382,-0.041741927346719034,0.00012787872342646156,0.9994644428860641,-189788.1086109678,5.825995263001457,0.009976653104227863,0.09067749364878916,203.67928745210702,5.937289866271791,0.001525457698778143,34.341120707159035,0.01756093495976442,0.04962739744353078,0.0011195336209385148,290.0410419238597,6.394422389996229,-0.03554954112368615,7.109655063216746e-05,0.9995140596536966,-191711.95801083895,-1923.8493998711347,2exp,5.937289866271791,0.04962739744353078,8.44588167046614,119.63734090685732,203.8931879710317,14.39398206249116,218.28717003352284,0.9340594224558382
14,FALLING,1.440671386637345,1.4404270999999997,1.3105840956864998,1.3105840956864998,0.13008729095084526,0.12984300431349993,6.98021964340464,0.002419403478956583,36.6982768962519,0.011517246633359552,0.006540588045717684,0.0001493275241711159,-0.038498547390405306,0.00014493413725032834,0.9995371975743889,-184891.33534871697,6.98021964340464,0.006540588045717684,0.05027845531958313,256.1620332703202,7.056597602776684,0.0015260048864750339,36.37442966243595,0.014350312961774513,0.0274636376857245,0.0006929763325489201,491.1281065503621,15.732631079354055,-0.035546142979623815,9.530975320869906e-05,0.999584035694346,-187004.69123964533,-2113.35589092836,2exp,7.056597602776684,0.0274636376857245,13.502015319777026,256.9432965700927,256.6797131583146,13.488164375575042,270.1678775338896,0.950074877521725
16,FALLING,1.4606739367852857,1.4600054999999998,1.310582798514,1.310582798514,0.15009113827128573,0.1494227014859999,8.107666992635718,0.0026069998002418164,37.370279832378145,0.010835708668668814,0.0132410104440098,0.00016230702420085407,-0.04374606387817454,0.00015730683433993556,0.9996115998192193,-181653.8926846151,8.107666992635718,0.0132410104440098,0.08821980162531,302.9857843025325,8.260710809784195,0.001881208497737932,37.019358108029586,0.01639221224092769,0.040063158074133416,0.001165761477619374,370.1717286557588,11.623600175111013,-0.03510013581409693,0.0001023025040067526,0.9995736306145037,-179769.4352528233,1884.4574317917868,1exp,8.260710809784195,0.040063158074133416,9.999409702770281,206.19220268403362,305.8062116942722,14.830248479710887,320.63646017398304,0.9537474669235566
18,FALLING,1.480417192387045,1.479045,1.3105803608250002,1.3105803608250002,0.16983683156204488,0.16846463917499976,9.157687902478441,0.0030446612408703785,39.43227230275135,0.0116821050301231,0.0008420971093314089,0.00019443938761145874,-0.033407371974665034,0.00018766172740578677,0.9995754256161714,-174702.13658990225,9.157687902478441,0.0008420971093314089,0.004958271427854408,361.10844303414177,9.165913632963148,0.0019069535538327408,39.242733284473466,0.014140348469628545,0.016141024814381438,0.000658711497737348,710.9613281256135,46.611867350396054,-0.035078841790204054,0.00016163494380467647,0.9996000314426648,-175875.8784040631,-1173.741814160865,2exp,9.165913632963148,0.016141024814381438,18.117018582059572,567.8644161922384,359.69550400689207,11.475644439341112,371.1711484462332,0.9690826065350727
20,FALLING,1.50041907405038,1.497175,1.3105740955295,1.3105740955295,0.18984497852088,0.18660090447049993,10.055469935967029,0.0033110828537755888,40.409027014996006,0.011793899354909586,0.0001357763120355904,0.00021389663640454293,-0.03362468401464,0.0002060516599173535,0.999586278377584,-171006.40409587423,10.055469935967029,0.0001357763120355904,0.0007151956985823416,406.3317562909718,10.055541424146469,0.002082345125067528,40.257851981075575,0.014322677790820824,0.013466898018667794,0.0006812075395743058,776.0768115231713,67.66090982837787,-0.03570598621778679,0.00019473451605071178,0.9996012900676564,-171725.48569023542,-719.081594361196,2exp,10.055541424146469,0.013466898018667794,19.277650776995998,746.6857928386695,404.81449824286244,10.451347275435415,415.26584551829785,0.9748321529732575
