Step,Type,V_initial,V_initial_iR,V_final,V_final_iR,dV,dV_iR,duration,charge,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3205077166853258,1.3208353,1.3105787227420003,1.3105787227420003,0.009928993943325581,0.010256577257999666,3.999799898956553,0.018099999999999998,0.6291152602731684,0.0017890648855162482,23.75864352628101,0.06782849429060575,0.002199971386037672,8.852353800642902e-05,-0.027162709680847535,8.905546226828319e-05,0.967436723613902,-203060.9341552117,0.6291152602731684,0.002199971386037672,0.2215704228036644,14.946925205773706,0.15404994926210933,0.0067404122300598205,3.5865296476961683,0.2564819829059678,0.6088395952875121,0.0035157468083788905,25.890093483140543,0.12221305623238968,-0.02530633431571281,4.453988727141791e-05,0.9676397906647445,-203166.1899566608,-105.25580144909327,2exp,0.15404994926210933,0.6088395952875121,7.218703322241104,0.25302222531923596,0.5525047102546455,15.762914038231143,16.31541874848579,0.033863961371259486
4,FALLING,1.3405024040463815,1.3408206599999999,1.310570875045,1.310570875045,0.02993152900138152,0.03024978495499986,3.999799898956539,0.054,1.9327131671379585,0.0019112347045811646,24.29638612950109,0.023992198222802727,0.005880116506803068,9.572040450955207e-05,-0.029498171937656963,9.611242214336316e-05,0.9959166770983175,-200093.9112337951,1.9327131671379585,0.005880116506803068,0.1964522596400493,46.957945386354815,0.440193530368666,0.007558877544177692,3.4001751101106987,0.09011397581844995,1.879437815550726,0.0034246007921567147,26.172361669011593,0.040090269626805064,-0.02454643588535002,4.6487796881641495e-05,0.9961895187710306,-201456.66392701777,-1362.752693222661,2exp,0.440193530368666,1.879437815550726,7.697356995287077,0.23421553335068837,1.4967350855912962,49.189326243010704,50.686061328602,0.029529520470881268
6,FALLING,1.360537599780088,1.36082554,1.310571886815,1.310571886815,0.049965712965087894,0.05025365318499997,3.999799898956539,0.09259999999999999,3.3071753661856915,0.0021129706296852766,24.58570764373792,0.015641326139254248,0.009834809253238609,0.00010649985148457771,-0.03208359951063363,0.00010682859454307488,0.9982945018656356,-195910.23381711706,3.3071753661856915,0.009834809253238609,0.19683116020200492,81.30924667961331,0.7239099919235186,0.006791525955815824,6.827364945159466,0.10593091872924552,3.0145569181265035,0.00802058936349954,27.500241333610305,0.043502552696415876,-0.023928879445600657,4.851635344723793e-05,0.9986007412009711,-199847.135562144,-3936.901745026931,2exp,0.7239099919235186,3.0145569181265035,4.027943658278836,0.24013810705336308,4.942397702309302,82.90104276238336,87.84344046469266,0.05626370820819369
8,FALLING,1.3805418910435825,1.3807621,1.3105746662770001,1.3105746662770001,0.06996722476658235,0.07018743372299996,3.9997998989564962,0.1332,4.74862869914088,0.0019788698251524085,25.627179425971942,0.01052899841846829,0.009794878370216876,0.00010197156333565718,-0.0321908743493084,0.000101927782021705,0.999262885276739,-197935.33226071048,4.74862869914088,0.009794878370216876,0.1399923807596138,121.69395970020308,4.603671314372957,0.012528498361874854,23.472041983086434,0.04746660431056576,0.3659927431241179,0.01328571400273237,60.9908736264772,0.9346478719211162,-0.02467595358727306,4.84766006311292e-05,0.9993665703381656,-200946.20492950763,-3010.8726687971503,2exp,4.603671314372957,0.3659927431241179,2.598447705164562,12.578586326810665,108.05756636729276,22.322217144090807,130.37978351138358,0.8287908098716712
10,FALLING,1.400615030091963,1.4005913,1.3105759492915,1.3105759492915,0.09003908080046319,0.0900153507085002,3.9997998989564962,0.1819,6.100186387171581,0.0020371159438264284,27.378986513497278,0.008871842178491702,0.009775409081727426,0.00010867435562211758,-0.03179233210440579,0.00010802562902209674,0.9995309539229728,-195836.69589648975,6.100186387171581,0.009775409081727426,0.10856851263720517,167.0169208241904,6.2198592735784,0.001530211002358055,26.955249573764508,0.013102516147826074,0.04964738231974413,0.0010762724959255759,233.66843850252496,4.906597195235694,-0.02520297219493229,6.019114955666762e-05,0.9995482117952261,-196566.34006890518,-729.6441724154283,2exp,6.2198592735784,0.04964738231974413,8.668754405819117,125.28070933368912,167.6578590329994,11.601026302392478,179.25888533539188,0.9352833959628442
12,FALLING,1.4206239544582169,1.4200483999999998,1.3105762711435,1.3105762711435,0.11004768331471682,0.1094721288564997,3.9997998989565957,0.2335,7.639858968410165,0.002230279937634433,28.504570525805534,0.007996427958863492,0.008761416090127162,0.00012147622666650184,-0.031087764307881634,0.00012034595733979602,0.9996418097824346,-191648.42492065334,7.639858968410165,0.008761416090127162,0.07961472541926275,217.77089877225544,7.752595256161563,0.0014834484541373517,28.255743335499357,0.009664343530262172,0.034065873917230156,0.0006386571722634045,391.77090098692884,8.906982969690784,-0.02609836444266932,7.261094876422002e-05,0.9996804183488537,-193908.7339139397,-2260.308993286366,2exp,7.752595256161563,0.034065873917230156,13.865177650262838,227.57658514788264,219.05534174211104,13.346018117460378,232.40135985957141,0.9425734078082645
14,FALLING,1.4406817133866454,1.4385966,1.3105726408025,1.3105726408025,0.1301090725841454,0.12802395919749987,3.99979989895661,0.2874,9.09610842350958,0.002735189174147564,29.900910251024243,0.008541439311841785,0.005635136414197388,0.00015264702056307658,-0.02777446533984571,0.00015062887212590186,0.999620715958855,-182821.29382074488,9.09610842350958,0.005635136414197388,0.04331086450987481,271.98192160494557,0.6091667101230246,32572.39713162404,29.970397131004948,2939.7976079777236,8.5608069301461,32572.396906780723,29.9717097143172,209.53932328522578,-0.02293366019518586,7.722669606637255e-05,0.9995948489476538,-181482.5235823471,1338.7702383977885,1exp,0.6091667101230246,8.5608069301461,1.00004379599331,0.07115762744022408,18.25696822137482,256.5820202306538,274.8389884520286,0.06642786863757308
16,FALLING,1.4607002697001197,1.455571,1.3105699465024998,1.3105699465024998,0.15013032319761987,0.14500105349750014,3.9997998989564962,0.33709999999999996,10.348473634620072,0.003411614936433197,31.304183028611757,0.009697063855230663,0.0026081400310399316,0.00019483255115703452,-0.025314042185340144,0.0001915336902162665,0.9995470957181758,-173348.68920820084,10.348473634620072,0.0026081400310399316,0.0173725066028585,323.95051272490986,9.489836260162908,32169.646836175452,31.33186510613117,138.21837305759556,0.8924111323794138,32169.647037872306,31.33421958905621,1467.73597674874,-0.023079800857086448,9.522055623195778e-05,0.9995430325586234,-173150.32769699564,198.36151120520663,1exp,9.489836260162908,0.8924111323794138,1.0000751465933186,10.633928596184576,297.33426958269655,27.963006385694865,325.29727596839143,0.914038608831105
18,FALLING,1.4804471438664533,1.470691,1.31057115103,1.31057115103,0.16987599283645327,0.16011984896999998,3.9997998989565815,0.38039999999999996,11.260241245570993,0.003826276553212254,32.62759099395069,0.010315842983696553,0.002513173551405674,0.00022304809823594883,-0.025058932873501936,0.0002185331183940224,0.9995259927693063,-168189.2170830015,11.260241245570993,0.002513173551405674,0.014794165493562187,367.39454585370424,0.9776308698215483,33232.32481312999,32.65094851142954,5613.637129979356,10.314769716664347,33232.32431907501,32.651628485290175,532.2227176728402,-0.022911761343992802,0.00010830889339698991,0.9995229798840061,-168042.73988299468,146.4772000068333,1exp,0.9776308698215483,10.314769716664347,1.0000208255469334,0.09477970877450675,31.92057519372745,336.7940286998461,368.71460389357355,0.0865725817655464
20,FALLING,1.5004467421351457,1.483798,1.3105751731645,1.3105751731645,0.18987156897064583,0.17322282683550005,3.9997998989565815,0.4179,11.967053561013048,0.004300787979339944,33.61383517930177,0.011161709155512635,0.004405748505617491,0.000254404649943132,-0.026295762551773273,0.00024865543188362757,0.9994779417808858,-163103.27060609974,11.967053561013048,0.004405748505617491,0.023203834726296595,402.258565981769,10.990018826325564,35332.11507575433,33.65235239836952,165.69011940641047,1.0328836829553183,35332.11485963927,33.654789075771575,1764.0354028504642,-0.022539031235869443,0.00012362462231273254,0.9994701032049547,-162785.5206819216,317.7499241781479,1exp,10.990018826325564,1.0328836829553183,1.0000724073423815,10.640132095881878,369.8399864082233,34.76148248966736,404.60146889789064,0.9140846359644826
