Step,Type,V_initial,V_initial_iR,V_final,V_final_iR,dV,dV_iR,duration,charge,A_1exp (mA),A_1exp_err,tau_1exp (ms),tau_1exp_err (ms),B_1exp (mA·s^0.5),B_1exp_err,C_1exp (mA),C_1exp_err,R2_1exp,BIC_1exp,|A|_1exp,|B|_1exp,|B|/dV_1exp,Q_exp_1exp (mC),A1_2exp (mA),A1_2exp_err,tau1_2exp (ms),tau1_2exp_err (ms),A2_2exp (mA),A2_2exp_err,tau2_2exp (ms),tau2_2exp_err (ms),C_2exp (mA),C_2exp_err,R2_2exp,BIC_2exp,delta_BIC,Best_Model,|A1|_2exp,|A2|_2exp,tau2/tau1,|A1|/|A2|,Q_fast (mC),Q_slow (mC),Q_total_2exp (mC),Q_fast/Q_total
2,FALLING,1.3205140365093961,1.3206769999999999,1.310584360194,1.310584360194,0.009929676315396208,0.010092639805999948,3.999799898956553,0.0182,0.4901291516154519,0.002123838137018344,29.895641930832355,0.1230699503837238,0.001176548728591161,0.00011851783363757168,-0.03761066432155521,0.0001169526076470383,0.9304833855862785,-192938.72643076174,0.4901291516154519,0.001176548728591161,0.11848812501238266,14.652725616558193,0.16391371931200704,0.03829236968309772,16.59544892283043,2.0826158218454154,0.36101587847878713,0.03972023167772567,35.62993876370649,1.3267200825833485,-0.036677081715804104,5.814858905260801e-05,0.9306960189285122,-192980.16432536623,-41.437894604488974,2exp,0.16391371931200704,0.36101587847878713,2.1469704693971994,0.45403465355233236,2.7202217565935767,12.86297364292489,15.583195399518466,0.1745612300207462
4,FALLING,1.3405005262095162,1.34066034,1.3105811252905002,1.3105811252905002,0.029919400919016015,0.030079214709499702,3.999799898956539,0.05327,1.4887584472470565,0.002130370070543477,30.40939812379195,0.04117174268479441,0.00450042769537568,0.00011990796046333391,-0.039439169976364506,0.00011815842672212492,0.9921107595714324,-192579.0621157702,1.4887584472470565,0.00450042769537568,0.15041837594132182,45.27224833249405,1.2055208635800119,0.03772120659042471,24.57449513767205,0.37348656815270653,0.38689015200017823,0.03877601455555122,50.484586452155796,1.6276849779108815,-0.03595901235886665,5.8804787279306323e-05,0.9922902008710794,-193019.2264022528,-440.16428648258443,2exp,1.2055208635800119,0.38689015200017823,2.054348875504029,3.115925430894546,29.62506660040921,19.531989326140692,49.1570559265499,0.6026615313308177
6,FALLING,1.3605346079608158,1.3606736,1.310579368278,1.310579368278,0.04995523968281579,0.05009423172199989,3.999799898956539,0.09045,2.5204172400104214,0.0022026141713417813,30.81425395828911,0.025398340280414246,0.008518939285378111,0.00012480005737796636,-0.041864656432069484,0.0001228456140651112,0.9970865906363239,-191062.03178226927,2.5204172400104214,0.008518939285378111,0.17053144654030275,77.66477691453125,1.2791408866283207,0.04162130743096698,19.647724164755733,0.31746589905765144,1.4597875200800192,0.04289932485289633,40.65763828091615,0.3868016093852976,-0.03513611084800368,5.91133649039955e-05,0.9972905821539235,-192493.44894892417,-1431.4171666548937,2exp,1.2791408866283207,1.4597875200800192,2.069330673618077,0.8762514194930258,25.132207308334326,59.351512958409046,84.48372026674338,0.2974798840413696
8,FALLING,1.3805480507756898,1.3806651,1.3105800268555001,1.3105800268555001,0.06996802392018964,0.07008507314449997,3.9997998989564962,0.1304,3.579906730544481,0.0022537860250089934,32.32266431881004,0.018975900794761098,0.00898543353305273,0.0001307737859760399,-0.04200691486235324,0.00012822436515193546,0.9984730048026643,-189481.8208443082,3.579906730544481,0.00898543353305273,0.1284219995022603,115.71212354403802,3.6091334384148586,0.005351432383144271,30.467356740306528,0.05437731678668196,0.13878534442181922,0.005895573516909154,109.67855035205777,2.647221443825356,-0.03550007650207687,6.462876643978232e-05,0.9985648878984119,-190702.69650472607,-1220.8756604178634,2exp,3.6091334384148586,0.13878534442181922,3.5998708810521616,26.005148118848826,109.96075599155462,15.22177538629618,125.18253137785081,0.8784033585297073
10,FALLING,1.4006025500479808,1.4006455500000001,1.3105891314775,1.3105891314775,0.09001341857048084,0.09005641852250013,3.9997998989564962,0.1739,4.635165090231268,0.002220735262424256,33.44474794902221,0.014822594739067605,0.013540264305517326,0.00013103917263296094,-0.04596201934471998,0.00012812995740365708,0.9991355603165226,-189600.7725076413,4.635165090231268,0.013540264305517326,0.15042495352973678,155.02192814489155,4.760491903211889,0.0027124061016211717,32.19955799287396,0.03191009492053702,0.10012551679096827,0.0028879847119882697,163.271138076922,3.4198809101138354,-0.0362513115864959,7.091357210690999e-05,0.9990793870362846,-188322.30638175146,1278.4661258898268,1exp,4.760491903211889,0.10012551679096827,5.07060184220713,47.54524177039059,153.28573511207816,16.347607077001353,169.6333421890795,0.9036297530542096
12,FALLING,1.4206055891203517,1.4205818,1.3105821124805,1.3105821124805,0.11002347663985179,0.10999968751949996,3.9997998989565957,0.2246,5.825995263075544,0.0021767579454758735,34.96042791959865,0.011959188559614685,0.009976653099466692,0.00013124849032043856,-0.04174192734266334,0.00012787872349256135,0.9994644428860641,-189788.1086109678,5.825995263075544,0.009976653099466692,0.09067749360551502,203.67928745467572,5.937289948353637,0.0015254560807382977,34.341122082967544,0.017560911802420826,0.049627272506608325,0.001119529296028921,290.0418580323962,6.394441128120761,-0.03554954494471191,7.109659361723365e-05,0.9995140596537055,-191711.9580112084,-1923.8494002405787,2exp,5.937289948353637,0.049627272506608325,8.4459050968591,119.63764374846578,203.89319895838833,14.39398632689673,218.28718528528506,0.9340594075273596
14,FALLING,1.440671386637345,1.4404270999999997,1.3105840956864998,1.3105840956864998,0.13008729095084526,0.12984300431349993,3.99979989895661,0.2766,6.980219633835775,0.0024194034765459413,36.698277030305476,0.011517246667354701,0.006540587759024162,0.00014932752426024564,-0.03849854725868061,0.00014493413729241202,0.9995371975743889,-184891.33534871726,6.980219633835775,0.006540587759024162,0.050278453115728164,256.16203385488274,7.0565973731558405,0.0015260070487102537,36.37442576626161,0.014350393575890134,0.027463968916339333,0.0006929910855617169,491.1182884537435,15.732278006117962,-0.03554610767277377,9.530882252344847e-05,0.9995840356943317,-187004.69123896395,-2113.3558902466903,2exp,7.0565973731558405,0.027463968916339333,13.501746848448414,256.9401893313974,256.67967731225383,13.488057408339387,270.1677347205932,0.950075247059799
16,FALLING,1.4606739367852857,1.4600054999999998,1.310582798514,1.310582798514,0.15009113827128573,0.1494227014859999,3.9997998989564962,0.3285,8.107666986918735,0.002606999798204357,37.370279904468106,0.010835708688078562,0.013241010254366576,0.0001623070241307225,-0.04374606378686361,0.00015730683427325973,0.9996115998192193,-181653.89268461528,8.107666986918735,0.013241010254366576,0.08821980036178953,302.9857846733687,8.26071080057959,0.0018812086872332617,37.019357923361596,0.01639221606401873,0.040063175958701534,0.0011657622846087939,370.1715250187822,11.623593207477985,-0.0351001349585059,0.0001023024865737994,0.9995736306145037,-179769.4352528237,1884.457431791583,1exp,8.26071080057959,0.040063175958701534,9.999404251827396,206.19211040819647,305.80620982803475,14.830246941728358,320.63645676976313,0.9537474712291453
18,FALLING,1.480417192387045,1.479045,1.3105803608250002,1.3105803608250002,0.16983683156204488,0.16846463917499976,3.9997998989565815,0.37710000000000005,9.15768783259673,0.003044661227436122,39.432272827548786,0.011682105186785276,0.0008420975203235367,0.00019443938760235145,-0.033407372915470225,0.00018766172728522864,0.9995754256161714,-174702.1365899042,9.15768783259673,0.0008420975203235367,0.0049582738477778375,361.10844508447815,1.1776305140234515,39826.24613053024,39.43968566210996,2511.7563100250395,7.990174910928811,39826.245968566276,39.441093834965486,370.553433017758,-0.032697117495277025,9.227507833503501e-05,0.999575027022889,-174663.57059566403,38.56599424016895,1exp,1.1776305140234515,7.990174910928811,1.0000357044644723,0.147384822879498,46.4453772991939,315.1412384197302,361.5866157189241,0.12844882880094702
20,FALLING,1.50041907405038,1.497175,1.3105740955295,1.3105740955295,0.18984497852088,0.18660090447049993,3.9997998989565815,0.42000000000000004,10.055469884534322,0.0033110828381367197,40.40902755360875,0.011793899484411863,0.00013577484674846894,0.00021389663673688453,-0.03362468342993563,0.00020605166003135174,0.9995862783775841,-171006.40409587737,10.055469884534322,0.00013577484674846894,0.0007151879802474513,406.3317596286304,1.394551376525573,41213.04216816149,40.40988457687055,7221.6610661192335,8.662533032971787,41213.04213504984,40.41035480424811,1162.7128918225762,-0.03351037754133978,0.0001012431087567454,0.9995862700330043,-170986.19469531733,20.209400560037466,1exp,1.394551376525573,8.662533032971787,1.0000116364444611,0.16098655799840053,56.35366016191435,350.0560333659094,406.4096935278237,0.13866219497064297
